level,layer,kappa,mean_dist,n,verb
B1+,2,2639.9746311901017,0.2520785361842105,400,make
B1+,3,2018.0832965073248,0.31553483317669173,400,make
B1+,4,1692.2499284735345,0.36306204965538846,400,make
B1+,5,1499.82431921999,0.3982349428258145,400,make
B1+,6,1291.0781924930152,0.44456228461779446,400,make
B1+,7,1164.6121374031713,0.4779054570018797,400,make
B1+,8,1097.0608917255438,0.49768767622180454,400,make
B1+,9,1002.6365857935054,0.527984805764411,400,make
B1+,10,1057.4040798872059,0.5100167900219299,400,make
B1+,11,1303.7747881745602,0.44145539630325814,400,make
B1+,12,1021.2693050059275,0.5217445958646616,400,make
A1,0,8698.170599660934,0.0845976268796993,400,like
A1,1,6084.047043269223,0.11868499373433583,400,like
A1,2,4809.620683643437,0.1476576206140351,400,like
A1,3,3536.44599627538,0.19516853657581457,400,like
A1,4,3123.6496656560485,0.2178419682017544,400,like
A1,5,3142.1058405824074,0.2167172814849624,400,like
A1,6,2700.679430905509,0.2472090871710526,400,like
A1,7,2763.120220181628,0.24239074248120296,400,like
A1,8,2414.3709167799334,0.27196384515977445,400,like
A1,9,1984.7116151446685,0.31983616267230575,400,like
A1,10,1914.5660674025337,0.329261483787594,400,like
A1,11,2341.207776512593,0.2790935346177945,400,like
A1,12,2031.7890890049655,0.31380081062030074,400,like
A2,0,9029.586780046448,0.08162437343358397,400,like
A2,1,6108.600464204259,0.11823778195488721,400,like
A2,2,4824.524828965089,0.14723762531328322,400,like
A2,3,3457.7098201614185,0.19912417763157897,400,like
A2,4,3087.580299521975,0.2200738173558897,400,like
A2,5,3132.6268096174867,0.21729357573621555,400,like
A2,6,2720.4775760470275,0.24566092966791975,400,like
A2,7,2850.285357838501,0.23596687030075192,400,like
A2,8,2459.327874803623,0.26775826284461157,400,like
A2,9,2042.0870508684582,0.31251037750626565,400,like
A2,10,1943.3357087747768,0.3253308074874687,400,like
A2,11,2363.811355365754,0.27685174851190475,400,like
A2,12,2066.3389764799776,0.3095116208489975,400,like
B1+,0,5364.451636151696,0.13347685620300753,400,like
B1+,1,4497.326400276065,0.15704368342731834,400,like
B1+,2,3786.4394052837274,0.1835831766917293,400,like
B1+,3,2902.99131121669,0.23224349937343358,400,like
B1+,4,2639.5094155814113,0.252116521773183,400,like
B1+,5,2756.415533103108,0.24289909343671678,400,like
B1+,6,2440.0617324433506,0.26954476033834585,400,like
B1+,7,2474.1994365374403,0.26639518718671684,400,like
B1+,8,2163.132922636146,0.2980852032424812,400,like
B1+,9,1822.8983598725285,0.3424269658521303,400,like
B1+,10,1747.717793417586,0.35401384320175444,400,like
B1+,11,2156.944014706804,0.2987908247180451,400,like
B1+,12,1874.9466991799225,0.33482867324561405,400,like
